scientific_name,latitude,longitude,timestamp_occ,timestamp_round,lat_round,lon_round,timestamp_ocean
Leiogalathea sp.,12.83,93.06,2019-07-26,2019-07-26,12.83,93.06,
Gastroptychus valdiviae,9.22,92.67,2017-01-11,2017-01-11,9.22,92.67,
Galathea tirmiziae,10.72,92.7,2019-08-10,2019-08-10,10.72,92.7,
Trapezionida bharuchai,10.72,92.7,2019-08-10,2019-08-10,10.72,92.7,
Trapezionida bharuchai,6.64,93.82,2019-08-16,2019-08-16,6.64,93.82,
Leptonida vigiliarum,11.57,92.81,2019-08-09,2019-08-09,11.57,92.81,
Grimothea krishaha,9.29,92.91,2015-01-28,2015-01-28,9.29,92.91,
Trapezionida aequispina,9.31,92.82,2017-01-12,2017-01-12,9.31,92.82,
Trapezionida aequispina,9.29,92.91,2015-01-28,2015-01-28,9.29,92.91,
Raymunida shraddhanandi,10.72,92.7,2019-08-10,2019-08-10,10.72,92.7,
Raymunida vittata,10.72,92.7,2019-08-10,2019-08-10,10.72,92.7,
Grimothea sp.,11.79,92.34,2015-01-14,2015-01-14,11.79,92.34,
Galathea nicobarica,9.29,92.91,2015-01-28,2015-01-28,9.29,92.91,
Munidopsis bengala,11.03,80.26,2015-12-05,2015-12-05,11.03,80.26,
Munidopsis kadal,10.99,74.98,2015-06-19,2015-06-19,10.99,74.98,
Metanephrops andamanicus,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Metanephrops andamanicus,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Metanephrops andamanicus,12.83,93.21,2010-09-17,2010-09-17,12.83,93.21,
Metanephrops andamanicus,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Metanephrops andamanicus,11.21,92.36,2015-01-15,2015-01-15,11.21,92.36,
Metanephrops andamanicus,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Metanephrops andamanicus,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Metanephrops andamanicus,6.83,93.76,2015-02-01,2015-02-01,6.83,93.76,
Nephropsis,11.01,80.3,2010-08-26,2010-08-26,11.01,80.3,
Nephropsis,11.13,80.2,2010-08-27,2010-08-27,11.13,80.2,
Nephropsis carpenteri,17.12,83.39,2010-09-02,2010-09-02,17.12,83.39,
Nephropsis rahayuae,12.81,93.08,2010-09-17,2010-09-17,12.81,93.08,
Nephropsis,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Metanephrops andamanicus,11.19,92.34,2016-04-14,2016-04-14,11.19,92.34,
Nephropsis stewarti,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Nephropsis stewarti,7.52,93.4,2010-09-24,2010-09-24,7.52,93.4,
Nephropsis,10.73,80.64,2011-11-07,2011-11-07,10.73,80.64,
Nephropsis,10.92,80.36,2011-11-08,2011-11-08,10.92,80.36,
Nephropsis stewarti,10.92,80.36,2011-11-08,2011-11-08,10.92,80.36,
Nephropsis stewarti,11.16,92.39,2011-11-22,2011-11-22,11.16,92.39,
Nephropsis,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Nephropsis stewarti,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Nephropsis carpenteri,12.1,74.32,2013-08-26,2013-08-26,12.1,74.32,
Nephropsis stewarti,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Nephropsis rahayuae,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Nephropsis rahayuae,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Nephropsis stewarti,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Nephropsis rahayuae,6.83,93.76,2015-02-01,2015-02-01,6.83,93.76,
